season,location,matchday_nr,home_team_id,home_team_name,home_team,away_team_id,away_team_name,away_team,goals_home,goals_away,draw,win_home,win_away,goals_total
2005,München,1,40,FC Bayern München,Bayern,87,Borussia Mönchengladbach,Gladbach,3,0,0,1,0,3
2005,Köln,1,65,1. FC Köln,Köln,81,1. FSV Mainz 05,Mainz,1,0,0,1,0,1
2005,Duisburg,1,107,MSV Duisburg,Duisburg,16,VfB Stuttgart,Stuttgart,1,1,1,0,0,2
2005,Hamburg,1,100,Hamburger SV,HSV,79,1. FC Nürnberg,Nürnberg,3,0,0,1,0,3
2005,Wolfsburg,1,131,VfL Wolfsburg,Wolfsburg,7,Borussia Dortmund,BVB,2,2,1,0,0,4
2005,Bremen,1,134,Werder Bremen,Bremen,83,Arminia Bielefeld,Bielefeld,5,2,0,1,0,7
2005,Hannover,1,55,Hannover 96,Hannover,54,Hertha BSC,Hertha,2,2,1,0,0,4
2005,Gelsenkirchen,1,9,FC Schalke 04,Schalke,76,1. FC Kaiserslautern,Kaiserslautern,2,1,0,1,0,3
2005,Frankfurt,1,91,Eintracht Frankfurt,Frankfurt,6,Bayer Leverkusen,Leverkusen,1,4,0,0,1,5
2005,Leverkusen,2,6,Bayer Leverkusen,Leverkusen,40,FC Bayern München,Bayern,2,5,0,0,1,7
2005,Gladbach,2,87,Borussia Mönchengladbach,Gladbach,131,VfL Wolfsburg,Wolfsburg,1,1,1,0,0,2
2005,Dortmund,2,7,Borussia Dortmund,BVB,9,FC Schalke 04,Schalke,1,2,0,0,1,3
2005,Berlin,2,54,Hertha BSC,Hertha,91,Eintracht Frankfurt,Frankfurt,2,0,0,1,0,2
2005,Kaiserslautern,2,76,1. FC Kaiserslautern,Kaiserslautern,107,MSV Duisburg,Duisburg,5,3,0,1,0,8
2005,Nürnberg,2,79,1. FC Nürnberg,Nürnberg,55,Hannover 96,Hannover,1,1,1,0,0,2
2005,Bielefeld,2,83,Arminia Bielefeld,Bielefeld,100,Hamburger SV,HSV,0,2,0,0,1,2
2005,Stuttgart,2,16,VfB Stuttgart,Stuttgart,65,1. FC Köln,Köln,2,3,0,0,1,5
2005,Mainz,2,81,1. FSV Mainz 05,Mainz,134,Werder Bremen,Bremen,0,2,0,0,1,2
2005,Köln,3,65,1. FC Köln,Köln,76,1. FC Kaiserslautern,Kaiserslautern,2,3,0,0,1,5
2005,Gelsenkirchen,3,9,FC Schalke 04,Schalke,87,Borussia Mönchengladbach,Gladbach,1,1,1,0,0,2
2005,Hamburg,3,100,Hamburger SV,HSV,55,Hannover 96,Hannover,1,1,1,0,0,2
2005,Wolfsburg,3,131,VfL Wolfsburg,Wolfsburg,6,Bayer Leverkusen,Leverkusen,2,1,0,1,0,3
2005,Bremen,3,134,Werder Bremen,Bremen,16,VfB Stuttgart,Stuttgart,1,1,1,0,0,2
2005,München,3,40,FC Bayern München,Bayern,54,Hertha BSC,Hertha,3,0,0,1,0,3
2005,Frankfurt,3,91,Eintracht Frankfurt,Frankfurt,79,1. FC Nürnberg,Nürnberg,1,0,0,1,0,1
2005,Duisburg,3,107,MSV Duisburg,Duisburg,7,Borussia Dortmund,BVB,1,1,1,0,0,2
2005,Bielefeld,3,83,Arminia Bielefeld,Bielefeld,81,1. FSV Mainz 05,Mainz,2,0,0,1,0,2
2005,Leverkusen,4,6,Bayer Leverkusen,Leverkusen,9,FC Schalke 04,Schalke,1,1,1,0,0,2
2005,Gladbach,4,87,Borussia Mönchengladbach,Gladbach,107,MSV Duisburg,Duisburg,2,1,0,1,0,3
2005,Kaiserslautern,4,76,1. FC Kaiserslautern,Kaiserslautern,134,Werder Bremen,Bremen,1,5,0,0,1,6
2005,Nürnberg,4,79,1. FC Nürnberg,Nürnberg,40,FC Bayern München,Bayern,1,2,0,0,1,3
2005,Stuttgart,4,16,VfB Stuttgart,Stuttgart,83,Arminia Bielefeld,Bielefeld,1,1,1,0,0,2
2005,Mainz,4,81,1. FSV Mainz 05,Mainz,100,Hamburger SV,HSV,1,3,0,0,1,4
2005,Hannover,4,55,Hannover 96,Hannover,91,Eintracht Frankfurt,Frankfurt,2,0,0,1,0,2
2005,Dortmund,4,7,Borussia Dortmund,BVB,65,1. FC Köln,Köln,2,1,0,1,0,3
2005,Berlin,4,54,Hertha BSC,Hertha,131,VfL Wolfsburg,Wolfsburg,3,0,0,1,0,3
2005,Köln,5,65,1. FC Köln,Köln,87,Borussia Mönchengladbach,Gladbach,2,1,0,1,0,3
2005,Hamburg,5,100,Hamburger SV,HSV,91,Eintracht Frankfurt,Frankfurt,1,1,1,0,0,2
2005,Wolfsburg,5,131,VfL Wolfsburg,Wolfsburg,79,1. FC Nürnberg,Nürnberg,1,1,1,0,0,2
2005,Bremen,5,134,Werder Bremen,Bremen,7,Borussia Dortmund,BVB,3,2,0,1,0,5
2005,München,5,40,FC Bayern München,Bayern,55,Hannover 96,Hannover,1,0,0,1,0,1
2005,Mainz,5,81,1. FSV Mainz 05,Mainz,16,VfB Stuttgart,Stuttgart,1,2,0,0,1,3
2005,Bielefeld,5,83,Arminia Bielefeld,Bielefeld,76,1. FC Kaiserslautern,Kaiserslautern,0,0,1,0,0,0
2005,Duisburg,5,107,MSV Duisburg,Duisburg,6,Bayer Leverkusen,Leverkusen,1,3,0,0,1,4
2005,Gelsenkirchen,5,9,FC Schalke 04,Schalke,54,Hertha BSC,Hertha,0,0,1,0,0,0
2005,Gladbach,6,87,Borussia Mönchengladbach,Gladbach,134,Werder Bremen,Bremen,2,1,0,1,0,3
2005,Dortmund,6,7,Borussia Dortmund,BVB,83,Arminia Bielefeld,Bielefeld,2,0,0,1,0,2
2005,Frankfurt,6,91,Eintracht Frankfurt,Frankfurt,40,FC Bayern München,Bayern,0,1,0,0,1,1
2005,Hannover,6,55,Hannover 96,Hannover,131,VfL Wolfsburg,Wolfsburg,2,4,0,0,1,6
2005,Leverkusen,6,6,Bayer Leverkusen,Leverkusen,65,1. FC Köln,Köln,2,1,0,1,0,3
2005,Berlin,6,54,Hertha BSC,Hertha,107,MSV Duisburg,Duisburg,3,2,0,1,0,5
2005,Kaiserslautern,6,76,1. FC Kaiserslautern,Kaiserslautern,81,1. FSV Mainz 05,Mainz,0,2,0,0,1,2
2005,Nürnberg,6,79,1. FC Nürnberg,Nürnberg,9,FC Schalke 04,Schalke,1,1,1,0,0,2
2005,Stuttgart,6,16,VfB Stuttgart,Stuttgart,100,Hamburger SV,HSV,1,2,0,0,1,3
2005,Duisburg,7,107,MSV Duisburg,Duisburg,79,1. FC Nürnberg,Nürnberg,1,0,0,1,0,1
2005,Gelsenkirchen,7,9,FC Schalke 04,Schalke,55,Hannover 96,Hannover,2,0,0,1,0,2
2005,Hamburg,7,100,Hamburger SV,HSV,40,FC Bayern München,Bayern,2,0,0,1,0,2
2005,Wolfsburg,7,131,VfL Wolfsburg,Wolfsburg,91,Eintracht Frankfurt,Frankfurt,1,0,0,1,0,1
